Name,Type,Year,Position 1,Company/University 1,Position 2 or Past Position,Company/University 2,Industry or Academia?,"Company website, profile page, LinkedIn",,,,,,,,,,,,,,,,,,,,,
Sameer Agarwal,PhD Granted,2014,Co-founder & CTO,Deductive.AI,Staff Engineer,Databricks,industry,https://www.deductive.ai/
Gautam Altekar,PhD Granted,2011,Co-founder,Clairvoyant Intelligence,,,industry,https://www.clairvoyantintel.com/,,,,,,,,,,,,,,,,,,,,,
Ganesh Ananthanarayanan,PhD Granted,2013,Senior Principal Researcher ,Microsoft,,,industry,https://www.microsoft.com/en-us/research/people/ga/bio-sketch/,,,,,,,,,,,,,,,,,,,,,
Michael Armbrust,PhD Granted,2013,Lead developer of Spark SQL,Databricks,,,industry,https://www.databricks.com/,,,,,,,,,,,,,,,,,,,,,
Peter Bailis,PhD Granted,2015,CTO,Workday,,,industry,https://www.workday.com/en-us/company/about-workday/leadership/peter-bailis.html,,,,,,,,,,,,,,,,,,,,,
Arka Bhattacharya,PhD Granted,2016,Research Scientist,Amazon Web Services,PhD UC Berkeley,Smart Building Analytics & IoT,industry,https://www.linkedin.com/in/arka-bhattacharya-
Tamara Broderick,PhD Granted,2014,"Associate Professor, EECS",MIT,,,academia,https://tamarabroderick.com/,,,,,,,,,,,,,,,,,,,,,
Yanpei Chen,PhD Granted,2012," Senior Director, Strategic Insights",Splunk,,,industry,http://www.yanpeichen.com/,,,,,,,,,,,,,,,,,,,,,
Mosharaf Chowdhury,PhD Granted,2015,"Associate Professor, CSE",University of Michigan,,,academia,https://mosharaf.com/,,,,,,,,,,,,,,,,,,,,,
Kristal Curtis,PhD Granted,2015,Software Engineer,Splunk,,,industry,https://www.splunk.com/,,,,,,,,,,,,,,,,,,,,,
Stephen Dawson-Haggerty,PhD Granted,2014,Founder,Normal,Founder and CTO ,Comfy (acq. Siemens),industry,https://www.normal.dev/aboutUs.html,,,,,,,,,,,,,,,,,,,,,
John Duchi,PhD Granted,2014,Associate Professor of Statistics and Electrical Engineering,Stanford,,,academia,https://stanford.edu/~jduchi/,,,,,,,,,,,,,,,,,,,,,
Siamak Faridani,PhD Granted,2012,Senior Machine Learning Engineer,Meta,HCI & Crowdsourcing Research,UC Berkeley,industry,https://www.linkedin.com/in/siamak-faridani
Fletcher Foti,PhD Granted,2014,Founder,Mapcraftlabs,founder,populus-ai,industry,"https://mapcraft.io/
https://www.populus.ai/",,,,,,,,,,,,,,,,,,,,,
Timothy Hunter,PhD Granted,2014,Software Engineer,Databricks,,,industry,https://tjhunter.github.io/,,,,,,,,,,,,,,,,,,,,,
Ariel Kleiner,PhD Granted,2012,CEO and founder,Inductor,,,industry,https://inductor.ai/,,,,,,,,,,,,,,,,,,,,,
Kevin Klues,PhD Granted,2015,Distinguished Engineer,Nvidia,,,industry,https://developer.nvidia.com/blog/author/kklues/,,,,,,,,,,,,,,,,,,,,,
Andy Konwinski,PhD Granted,2012,co-founder,Databricks,co-founder,Perplexity,industry,https://andykonwinski.com/about/,,,,,,,,,,,,,,,,,,,,,
Gunho Lee,PhD Granted,2012,Founder and Chief Engineer,Enuma,,,industry,https://enuma.com/en/,,,,,,,,,,,,,,,,,,,,,
Lester Mackey,PhD Granted,2012,Senior Principal Researcher ,Microsoft,,,industry,https://www.microsoft.com/en-us/research/people/lmackey/,,,,,,,,,,,,,,,,,,,,,
Kurt Miller,PhD Granted,2011,Quantitative Researcher,PDT Partners,Adjunct Professor,NYU Courant,industry,https://www.linkedin.com/in/kurt-miller
Manas Mittal,PhD Granted,2014,Senior Director of Product Management ,Uber,,,industry,https://clay.earth/profile/manas-mittal,,,,,,,,,,,,,,,,,,,,,
Teodor Mihai Moldovan,PhD Granted,2014,Senior Research Engineer,Citadel Securities,,,industry,https://www.efinancialcareers.com/news/citadel-securities-lost-a-tech-lead-in-chicago-but-it-s-been-hiring-in-miami,,,,,,,,,,,,,,,,,,,,,
